"ID","Title","Created By","Created On","Preconditions","Priority","Section","Section Hierarchy","Steps","Steps (Expected Result)","Template","Type","Updated On"
"C15","Точность результатов поисковой выдачи при выборе нескольких параметров фильтра","Anastasia Vasilyeva","5/10/2025 9:32 AM","Открыть страницу: https://toptop.ru/catalog/","Medium","Фильтр","Каталог > Фильтр","Step Description:
Прогнать тесты по комбинациям фильтров из прикреплённого файлика Excel 
Expected Result:
Выгружается список товаров с учётом всех применённых фильтров. ","Выгружается список товаров с учётом всех применённых фильтров. ","Test Case (Steps)","Functional","5/10/2025 9:46 AM"
"C16","Работа фильтра """"Размер"""" в общем каталоге товаров","Anastasia Vasilyeva","5/10/2025 10:09 AM","Открыть страницу https://toptop.ru/catalog","Medium","Фильтр","Каталог > Фильтр","Step Description:
Нажать на кнопку фильтра """"Размер"""".
Expected Result:
Справа откроется окно выбора размера","Справа откроется окно выбора размера","Test Case (Steps)","Functional","5/10/2025 12:06 PM"
"","","","","","","","","
Step Description:
Нажать на кнопку """"XS""""
Expected Result:
Сайт выдаст список всех товаров из категории """"XS""""","Сайт выдаст список всех товаров из категории ""XS""","","",""
"","","","","","","","","
Step Description:
Нажать на кнопку """"Сбросить все фильтры""""
Нажать на кнопку фильтра """"Размер"""" и в открывшемся окне нажать на кнопку """"M""""
Expected Result:
Сайт выдаст список всех товаров из категории """"M""""","Сайт выдаст список всех товаров из категории ""M""","","",""
"","","","","","","","","
Step Description:
Нажать на кнопку """"Сбросить все фильтры""""
Нажать на кнопку фильтра """"Размер"""" и в открывшемся окне нажать на кнопку """"L""""
Expected Result:
Сайт выдаст список всех товаров из категории """"L""""","Сайт выдаст список всех товаров из категории ""L""","","",""
"","","","","","","","","
Step Description:
Нажать на кнопку """"Сбросить все фильтры""""
Нажать на кнопку фильтра """"Размер"""" и в открывшемся нажать на кнопку """"One Size""""
Expected Result:
Сайт выдаст список всех товаров из категории """"One Size""""","Сайт выдаст список всех товаров из категории ""One Size""","","",""
"C17","Работа фильтра """"Стиль"""" в общем каталоге товаров","Anastasia Vasilyeva","5/10/2025 10:16 AM","Открыть страницу https://toptop.ru/catalog","Medium","Фильтр","Каталог > Фильтр","Step Description:
Нажать на кнопку фильтра """"Стиль""""
Expected Result:
Справа откроется окно выбора стилей","Справа откроется окно выбора стилей","Test Case (Steps)","Functional","5/10/2025 6:54 PM"
"","","","","","","","","
Step Description:
Нажать поочерёдно и проверить по отдельности работоспособность кнопок """"Выход в свет"""", """"Деловой"""", """"Повседневный"""", """"Романтический"""", """"Спорт"""", """"Ультрамодный"""".
Expected Result:
Сайт выдаст список всех товаров из релевантной категории.","Сайт выдаст список всех товаров из релевантной категории.","","",""
"C23","Проверка работы поиска","Anastasia Vasilyeva","5/10/2025 1:50 PM","Открыть главную страницу https://toptop.ru/","Medium","Поиск","Каталог > Поиск","Step Description:
Нажать на кнопку """"Лупа"""" в верхнем левом углу.
Expected Result:
Откроется поисковая строка","Откроется поисковая строка","Test Case (Steps)","Functional","5/10/2025 2:00 PM"
"","","","","","","","","
Step Description:
Ввести в поисковую строку слово """"Рубашка"""" 
Expected Result:
Появится список товаров, соответствующих запросу """"Рубашка""""","Появится список товаров, соответствующих запросу ""Рубашка""","","",""
"C24","Проверка работы поиска при нажатии на кнопку Enter","Anastasia Vasilyeva","5/10/2025 2:03 PM","Открыть главную страницу: https://toptop.ru/","Medium","Поиск","Каталог > Поиск","Step Description:
В верхнем правом углу нажать на кнопку """"Лупа""""
Expected Result:
Появится поисковая строка","Появится поисковая строка","Test Case (Steps)","Usability","5/10/2025 2:06 PM"
"","","","","","","","","
Step Description:
Ввести в поисковую строку слово """"Рубашка"""" и нажать Enter
Expected Result:
Подгрузится страница со всеми товарами, подпадающими под категорию """"Рубашка"""".","Подгрузится страница со всеми товарами, подпадающими под категорию ""Рубашка"".","","",""
"C25","Добавление в корзину товара, у которого несколько размеров","Anastasia Vasilyeva","5/10/2025 2:18 PM","Открыть страницу каталога: https://toptop.ru/catalog/","Medium","Корзина","Корзина","Step Description:
Выбрать товар из категории одежды или обуви
Expected Result:
Откроется страница с выбранным товаром","Откроется страница с выбранным товаром","Test Case (Steps)","Functional","5/10/2025 2:23 PM"
"","","","","","","","","
Step Description:
Нажать на кнопку """"В корзину""""
Expected Result:
Кнопка """"В корзину"""" изменится на кнопку """"Выберите размер""""","Кнопка ""В корзину"" изменится на кнопку ""Выберите размер""","","",""
"C26","Добавление в корзину товара из окна """"Быстрого просмотра""""","Anastasia Vasilyeva","5/10/2025 2:24 PM","Открыть страницу https://toptop.ru/catalog/
Корзина пустая","Medium","Корзина","Корзина","Step Description:
Навести курсор на любой товар
Expected Result:
Под фотографией товара появится кнопка """"Быстрый просмотр"""" ","Под фотографией товара появится кнопка ""Быстрый просмотр"" ","Test Case (Steps)","Functional","5/10/2025 2:31 PM"
"","","","","","","","","
Step Description:
Нажать на кнопку """"Быстрый просмотр""""
Expected Result:
Справа появится окно товара","Справа появится окно товара","","",""
"","","","","","","","","
Step Description:
Выбрать один любой размер, если их несколько, и нажать на кнопку """"В корзину""""
Expected Result:
Текст на кнопке """"В корзину"""" изменится на """"Добавлено"""". Окно быстрого просмотра закроется. В правом верхнем углу справа от кнопки """"Корзина"""" появится цифра """"1"""" (один)","Текст на кнопке ""В корзину"" изменится на ""Добавлено"". Окно быстрого просмотра закроется. В правом верхнем углу справа от кнопки ""Корзина"" появится цифра ""1"" (один)","","",""
"C27","Удаление товара из корзины","Anastasia Vasilyeva","5/10/2025 2:32 PM","Выполнить тест-кейс С26","Medium","Корзина","Корзина","Step Description:
Нажать на кнопку """"Корзина"""" в правом верхнем углу. 
Expected Result:
Откроется выпадающее окно справа","Откроется выпадающее окно справа","Test Case (Steps)","Functional","5/10/2025 2:34 PM"
"","","","","","","","","
Step Description:
Нажать на ссылку """"Удалить""""
Expected Result:
Товар успешно удалён из корзины.","Товар успешно удалён из корзины.","","",""
